page,indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal,download_date
2,EN.POP.DNST,Population density (people per sq. km of land area),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2018,130.099642847349,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2017,129.25154332623,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2016,128.268799515125,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2015,127.305327914983,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),XC,Euro area,EMU,2022,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),XC,Euro area,EMU,2021,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),XC,Euro area,EMU,2020,127.953871829812,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),XC,Euro area,EMU,2019,127.781943882412,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),XC,Euro area,EMU,2018,127.63616063936,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),XC,Euro area,EMU,2017,127.33307364924,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),XC,Euro area,EMU,2016,127.024004960909,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),XC,Euro area,EMU,2015,126.671456493802,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z7,Europe & Central Asia,ECS,2022,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z7,Europe & Central Asia,ECS,2021,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z7,Europe & Central Asia,ECS,2020,33.6362250988367,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z7,Europe & Central Asia,ECS,2019,33.5652114343035,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z7,Europe & Central Asia,ECS,2018,33.4776500248434,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z7,Europe & Central Asia,ECS,2017,33.371816946218,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z7,Europe & Central Asia,ECS,2016,33.244096551861396,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),Z7,Europe & Central Asia,ECS,2015,33.0896113916708,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),7E,Europe & Central Asia (excluding high income),ECA,2022,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),7E,Europe & Central Asia (excluding high income),ECA,2021,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),7E,Europe & Central Asia (excluding high income),ECA,2020,17.8961544606378,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),7E,Europe & Central Asia (excluding high income),ECA,2019,17.8417864715126,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),7E,Europe & Central Asia (excluding high income),ECA,2018,17.7740804253212,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),7E,Europe & Central Asia (excluding high income),ECA,2017,17.7029578149129,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),7E,Europe & Central Asia (excluding high income),ECA,2016,17.6064586125915,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),7E,Europe & Central Asia (excluding high income),ECA,2015,17.4892288178166,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2022,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2021,NA,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2020,20.0978636869976,,,0,2023-08-31
2,EN.POP.DNST,Population density (people per sq. km of land area),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2019,20.0532011021349,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2018,19.9930195240396,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2017,19.9303099462378,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2016,19.8431980462684,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),T7,Europe & Central Asia (IDA & IBRD countries),TEC,2015,19.7359024891234,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),EU,European Union,EUU,2022,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),EU,European Union,EUU,2021,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),EU,European Union,EUU,2020,112.022522067025,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),EU,European Union,EUU,2019,111.941409204776,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),EU,European Union,EUU,2018,111.846558697249,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),EU,European Union,EUU,2017,111.650843809074,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),EU,European Union,EUU,2016,111.455628923593,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),EU,European Union,EUU,2015,111.230043201747,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),F1,Fragile and conflict affected situations,FCS,2022,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),F1,Fragile and conflict affected situations,FCS,2021,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),F1,Fragile and conflict affected situations,FCS,2020,47.8873994860873,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),F1,Fragile and conflict affected situations,FCS,2019,46.812957476681,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),F1,Fragile and conflict affected situations,FCS,2018,45.7833463155363,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),F1,Fragile and conflict affected situations,FCS,2017,44.7915138208645,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),F1,Fragile and conflict affected situations,FCS,2016,43.8062410491892,,,0,2023-08-31
